episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg)
37,994.1,60.0,0.6964132180495735,980.7324324324323,193.67567567567568
38,991.1,90.0,0.6894490858690777,981.0052631578947,190.94736842105263
39,996.7,34.0,0.682554595010387,981.4076923076922,186.92307692307693
40,995.5,46.0,0.6757290490602831,981.7600000000002,183.4
41,993.1,70.0,0.6689717585696803,982.0365853658539,180.6341463414634
42,991.7,84.0,0.6622820409839835,982.2666666666668,178.33333333333334
43,995.9,42.0,0.6556592205741436,982.5837209302327,175.1627906976744
44,995.5,46.0,0.6491026283684022,982.8772727272728,172.22727272727272
45,994.9,52.0,0.6426116020847181,983.1444444444446,169.55555555555554
46,996.9,32.0,0.6361854860638709,983.4434782608697,166.56521739130434
47,994.7,54.0,0.6298236312032323,983.6829787234044,164.17021276595744
48,995.1,50.0,0.6235253948912,983.9208333333335,161.79166666666666
49,995.7,44.0,0.617290140942288,984.1612244897959,159.3877551020408
50,995.5,46.0,0.6111172395328651,984.388,157.12
51,996.7,34.0,0.6050060671375365,984.84,152.6
52,997.1,30.0,0.5989560064661611,985.008,150.92
53,996.5,36.0,0.5929664464014994,986.0440000000001,140.56
54,996.3,38.0,0.5870367819374844,987.7320000000001,123.68
55,997.1,30.0,0.5811664141181095,989.1640000000001,109.36
56,997.3,28.0,0.5753547499769285,989.3000000000002,108.0
57,994.5,56.0,0.5696012024771592,989.3320000000001,107.68
58,996.9,32.0,0.5639051904523876,989.9800000000001,101.2
59,994.9,52.0,0.5582661385478638,991.84,82.6
60,996.9,32.0,0.5526834771623851,992.26,78.4
61,996.9,32.0,0.5471566423907612,992.9080000000001,71.92
62,999.6,5.0,0.5416850759668536,993.1460000000001,69.54
63,995.5,46.0,0.536268225207185,993.722,63.78
64,994.9,52.0,0.5309055429551132,993.7740000000001,63.26
65,994.7,54.0,0.525596487525562,993.678,64.22
66,997.3,28.0,0.5203405226503064,993.8860000000001,62.14
67,995.3,48.0,0.5151371174238033,993.9220000000001,61.78
68,996.5,36.0,0.5099857462495653,994.2940000000001,58.06
69,997.1,30.0,0.5048858887870696,994.4019999999999,56.98
70,996.1,40.0,0.4998370298991989,994.482,56.18
71,995.9,42.0,0.49483865960020695,994.586,55.14
72,996.7,34.0,0.4898902730042049,994.6340000000001,54.66
73,998.1,20.0,0.48499137027416284,994.6659999999999,54.34
74,995.3,48.0,0.4801414565714212,994.758,53.42
75,995.9,42.0,0.475340042005707,994.9340000000001,51.66
76,996.1,40.0,0.47058664158564995,994.966,51.34
77,997.1,30.0,0.4658807751697934,995.174,49.26
78,996.5,36.0,0.4612219674180955,995.3099999999998,47.9
79,997.1,30.0,0.45660974774391455,995.6059999999999,44.94
80,997.1,30.0,0.4520436502664754,995.67,44.3
81,996.5,36.0,0.44752321376381066,995.722,43.78
82,997.1,30.0,0.44304798162617254,995.818,42.82
83,995.3,48.0,0.4386175018099108,995.802,42.98
84,1000.0,1.0,0.4342313267918117,995.96,41.4
85,998.1,20.0,0.4298890135238936,996.052,40.48
86,995.3,48.0,0.42559012338865465,996.052,40.48
87,996.5,36.0,0.4213342221547681,996.1,40.0
88,997.1,30.0,0.41712087993322045,996.22,38.8
89,995.9,42.0,0.41294967113388825,996.204,38.96
90,996.9,32.0,0.40882017442254937,996.2320000000001,38.68
91,997.5,26.0,0.4047319726783239,996.32,37.8
92,996.9,32.0,0.40068465295154065,996.4240000000001,36.76
93,996.7,34.0,0.39667780642202527,996.4399999999998,36.6
94,997.5,26.0,0.392711028357805,996.48,36.2
95,996.1,40.0,0.38878391807422696,996.5039999999999,35.96
96,995.9,42.0,0.3848960788934847,996.4839999999999,36.16
97,997.7,24.0,0.38104711810454983,996.544,35.56
98,996.7,34.0,0.37723664692350434,996.5759999999999,35.24
99,996.1,40.0,0.37346428045426927,996.5839999999998,35.16
100,996.5,36.0,0.36972963764972655,996.6039999999999,34.96
101,997.3,28.0,0.36603234127322926,996.6160000000001,34.84
102,997.1,30.0,0.36237201786049694,996.6160000000001,34.84
103,996.9,32.0,0.358748297681892,996.6239999999999,34.76
104,998.4,17.0,0.35516081470507305,996.666,34.34
105,997.9,22.0,0.3516092065580223,996.682,34.18
106,997.9,22.0,0.34809311449244207,996.694,34.06
107,997.9,22.0,0.34461218334751764,996.7620000000002,33.38
108,997.9,22.0,0.34116606151404244,996.7819999999999,33.18
109,997.1,30.0,0.337754400898902,996.8259999999999,32.74
110,997.3,28.0,0.334376856889913,996.8340000000001,32.66
111,996.9,32.0,0.33103308832101386,996.8340000000001,32.66
112,996.7,34.0,0.3277227574378037,996.776,33.24
113,997.1,30.0,0.3244455298634257,996.8079999999999,32.92
114,997.7,24.0,0.3212010745647914,996.8639999999999,32.36
115,997.3,28.0,0.3179890638191435,996.916,31.84
116,997.1,30.0,0.31480917318095203,996.9119999999999,31.88
117,996.9,32.0,0.3116610814491425,996.944,31.56
118,998.1,20.0,0.30854447063465107,996.9760000000001,31.24
119,999.1,10.0,0.30545902592830454,997.016,30.84
120,997.5,26.0,0.3024044356690215,997.044,30.56
121,997.5,26.0,0.29938039131233124,997.076,30.24
122,996.9,32.0,0.2963865873992079,997.08,30.2
123,997.1,30.0,0.29342272152521587,997.06,30.4
124,997.3,28.0,0.2904884943099637,997.1,30.0
125,997.7,24.0,0.28758360936686406,997.1360000000001,29.64
126,997.7,24.0,0.2847077732731954,997.1679999999999,29.32
127,996.5,36.0,0.28186069554046345,997.1560000000001,29.44
128,996.9,32.0,0.2790420885850588,997.1640000000001,29.36
129,997.3,28.0,0.2762516676992082,997.168,29.32
130,997.7,24.0,0.27348915102221616,997.18,29.2
131,997.5,26.0,0.270754259511994,997.2,29.0
