episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg),success ratio
1,689.7999999999979,3103.0,1.0,689.7999999999979,3103.0,1.0
2,934.3999999999994,657.0,0.99,812.0999999999987,1880.0,1.0
3,696.3999999999994,3037.0,0.9801,773.5333333333323,2265.6666666666665,1.0
4,836.600000000005,1635.0,0.9702989999999999,789.3000000000004,2108.0,1.0
5,908.200000000001,919.0,0.96059601,813.0800000000005,1870.2,1.0
6,-1790.3999999985576,27905.0,0.9509900498999999,379.1666666669075,6209.333333333333,1.0
7,956.7999999999996,433.0,0.9414801494009999,461.68571428592065,5384.142857142857,1.0
8,537.8999999999635,4622.0,0.9320653479069899,471.21250000017596,5288.875,1.0
9,919.4000000000003,807.0,0.92274469442792,521.0111111112676,4790.888888888889,1.0
10,952.5999999999996,475.0,0.9135172474836407,564.1700000001408,4359.3,1.0
11,956.7999999999996,433.0,0.9043820750088043,599.8636363637643,4002.3636363636365,1.0
12,947.5999999999996,525.0,0.8953382542587163,628.8416666667839,3712.5833333333335,1.0
13,966.5999999999998,335.0,0.8863848717161291,654.8230769231851,3452.769230769231,1.0
14,898.4000000000015,1017.0,0.8775210229989678,672.2214285715291,3278.785714285714,1.0
15,951.5999999999996,485.0,0.8687458127689781,690.8466666667606,3092.5333333333333,1.0
16,955.3999999999996,447.0,0.8600583546412883,707.3812500000879,2927.1875,1.0
17,962.7999999999997,373.0,0.8514577710948754,722.4058823530239,2776.9411764705883,1.0
18,952.7999999999996,473.0,0.8429431933839266,735.2055555556336,2648.9444444444443,1.0
19,969.5999999999998,305.0,0.8345137614500874,747.5421052632319,2525.5789473684213,1.0
20,779.0000000000083,2211.0,0.8261686238355865,749.1150000000707,2509.85,1.0
21,973.3999999999999,267.0,0.8179069375972307,759.7952380953054,2403.0476190476193,1.0
22,967.3999999999999,327.0,0.8097278682212583,769.2318181818824,2308.681818181818,1.0
23,978.5999999999999,215.0,0.8016305895390458,778.3347826087571,2217.6521739130435,1.0
24,973.1999999999999,269.0,0.7936142836436553,786.4541666667257,2136.4583333333335,1.0
25,978.1999999999999,219.0,0.7856781408072188,794.1240000000566,2059.76,1.0
26,975.1999999999999,249.0,0.7778213593991465,801.0884615385161,1990.1153846153845,1.0
