episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg),success ratio
1,827.7000000000055,1724.0,1.0,827.7000000000055,1724.0,1.0
2,863.7000000000035,1364.0,0.99,845.7000000000045,1544.0,1.0
3,894.1000000000017,1060.0,0.9801,861.833333333337,1382.6666666666667,1.0
4,-209.09999999999582,12092.0,0.9702989999999999,594.1000000000038,4060.0,1.0
5,953.6999999999996,464.0,0.96059601,666.0200000000029,3340.8,1.0
6,975.0999999999999,250.0,0.9509900498999999,717.5333333333359,2825.6666666666665,1.0
7,897.5000000000016,1026.0,0.9414801494009999,743.2428571428596,2568.5714285714284,1.0
8,943.4999999999994,566.0,0.9320653479069899,768.2750000000019,2318.25,1.0
9,943.2999999999995,568.0,0.92274469442792,787.7222222222239,2123.777777777778,1.0
10,947.8999999999995,522.0,0.9135172474836407,803.7400000000014,1963.6,1.0
11,952.6999999999996,474.0,0.9043820750088043,817.2818181818194,1828.1818181818182,1.0
12,970.4999999999999,296.0,0.8953382542587163,830.0500000000011,1700.5,1.0
13,969.4999999999999,306.0,0.8863848717161291,840.776923076924,1593.2307692307693,1.0
14,936.4999999999993,636.0,0.8775210229989678,847.6142857142867,1524.857142857143,1.0
15,984.1,160.0,0.8687458127689781,856.7133333333343,1433.8666666666666,1.0
16,971.4999999999999,286.0,0.8600583546412883,863.8875000000008,1362.125,1.0
17,959.8999999999997,402.0,0.8514577710948754,869.5352941176478,1305.6470588235295,1.0
18,982.7,174.0,0.8429431933839266,875.822222222223,1242.7777777777778,1.0
19,975.4999999999999,246.0,0.8345137614500874,881.0684210526323,1190.3157894736842,1.0
20,989.3000000000001,108.0,0.8261686238355865,886.4800000000007,1136.2,1.0
21,963.8999999999997,362.0,0.8179069375972307,890.1666666666673,1099.3333333333333,1.0
22,980.9,192.0,0.8097278682212583,894.2909090909098,1058.090909090909,1.0
23,980.9,192.0,0.8016305895390458,898.0565217391312,1020.4347826086956,1.0
24,980.9,192.0,0.7936142836436553,901.5083333333338,985.9166666666666,1.0
25,982.7,174.0,0.7856781408072188,904.7560000000005,953.44,1.0
