episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg),success ratio
1,858.3000000000038,1418.0,1.0,858.3000000000038,1418.0,1.0
2,979.9,202.0,0.99,919.100000000002,810.0,1.0
3,979.9,202.0,0.9801,939.366666666668,607.3333333333334,1.0
4,944.4999999999994,556.0,0.9702989999999999,940.6500000000009,594.5,1.0
5,978.5,216.0,0.96059601,948.2200000000008,518.8,1.0
6,982.9,172.0,0.9509900498999999,954.0000000000006,461.0,1.0
7,978.0999999999999,220.0,0.9414801494009999,957.4428571428577,426.57142857142856,1.0
8,990.3000000000001,98.0,0.9320653479069899,961.5500000000004,385.5,1.0
9,961.6999999999997,384.0,0.92274469442792,961.566666666667,385.3333333333333,1.0
10,968.0999999999998,320.0,0.9135172474836407,962.2200000000003,378.8,1.0
11,986.5,136.0,0.9043820750088043,964.4272727272729,356.72727272727275,1.0
12,985.3000000000001,148.0,0.8953382542587163,966.1666666666669,339.3333333333333,1.0
13,965.6999999999998,344.0,0.8863848717161291,966.1307692307693,339.6923076923077,1.0
14,980.9,192.0,0.8775210229989678,967.1857142857143,329.14285714285717,1.0
15,990.5,96.0,0.8687458127689781,968.74,313.6,1.0
16,995.9,42.0,0.8600583546412883,970.4375000000002,296.625,1.0
17,995.3,48.0,0.8514577710948754,971.9000000000002,282.0,1.0
18,988.9,112.0,0.8429431933839266,972.8444444444447,272.55555555555554,1.0
19,993.1,70.0,0.8345137614500874,973.9105263157896,261.89473684210526,1.0
20,995.7,44.0,0.8261686238355865,975.0000000000002,251.0,1.0
21,980.1,200.0,0.8179069375972307,975.2428571428572,248.57142857142858,1.0
22,995.3,48.0,0.8097278682212583,976.1545454545455,239.45454545454547,1.0
23,994.7,54.0,0.8016305895390458,976.9608695652175,231.3913043478261,1.0
24,995.7,44.0,0.7936142836436553,977.7416666666668,223.58333333333334,1.0
25,990.1,100.0,0.7856781408072188,978.2360000000001,218.64,1.0
26,996.7,34.0,0.7778213593991465,978.946153846154,211.53846153846155,1.0
27,991.3000000000001,88.0,0.7700431458051551,979.4037037037037,206.96296296296296,1.0
28,991.3000000000001,88.0,0.7623427143471035,979.8285714285714,202.71428571428572,1.0
29,-603.8999999996367,16040.0,0.7547192872036325,925.2172413793229,748.8275862068965,1.0
30,994.9,52.0,0.7471720943315961,927.5400000000121,725.6,1.0
31,993.5,66.0,0.7397003733882802,929.6677419354957,704.3225806451613,1.0
32,992.9,72.0,0.7323033696543974,931.6437500000116,684.5625,1.0
33,990.5,96.0,0.7249803359578534,933.4272727272839,666.7272727272727,1.0
34,994.5,56.0,0.7177305325982748,935.2235294117755,648.7647058823529,1.0
35,992.5,76.0,0.7105532272722921,936.8600000000106,632.4,1.0
36,994.1,60.0,0.7034476949995692,938.4500000000103,616.5,1.0
37,992.1,80.0,0.6964132180495735,939.9000000000099,602.0,1.0
38,989.3000000000001,108.0,0.6894490858690777,941.2000000000097,589.0,1.0
39,995.9,42.0,0.682554595010387,942.6025641025736,574.974358974359,1.0
40,994.3,58.0,0.6757290490602831,943.8950000000092,562.05,1.0
41,996.9,32.0,0.6689717585696803,945.1878048780577,549.1219512195122,1.0
42,994.7,54.0,0.6622820409839835,946.3666666666753,537.3333333333334,1.0
43,993.5,66.0,0.6556592205741436,947.4627906976829,526.3720930232558,1.0
44,994.7,54.0,0.6491026283684022,948.5363636363719,515.6363636363636,1.0
45,992.9,72.0,0.6426116020847181,949.5222222222303,505.77777777777777,1.0
46,995.1,50.0,0.6361854860638709,950.5130434782687,495.8695652173913,1.0
47,993.7,64.0,0.6298236312032323,951.4319148936247,486.6808510638298,1.0
48,993.9,62.0,0.6235253948912,952.3166666666742,477.8333333333333,1.0
49,995.3,48.0,0.617290140942288,953.1938775510279,469.0612244897959,1.0
50,992.5,76.0,0.6111172395328651,953.9800000000073,461.2,1.0
51,996.3,38.0,0.6050060671375365,956.7400000000073,433.6,1.0
52,997.5,26.0,0.5989560064661611,957.0920000000073,430.08,1.0
53,994.1,60.0,0.5929664464014994,957.3760000000071,427.24,1.0
54,996.9,32.0,0.5870367819374844,958.4240000000073,416.76,1.0
55,995.5,46.0,0.5811664141181095,958.7640000000072,413.36,1.0
56,995.3,48.0,0.5753547499769285,959.0120000000072,410.88,1.0
57,997.3,28.0,0.5696012024771592,959.3960000000073,407.04,1.0
58,996.5,36.0,0.5639051904523876,959.5200000000073,405.8,1.0
59,996.9,32.0,0.5582661385478638,960.2240000000073,398.76,1.0
60,992.9,72.0,0.5526834771623851,960.7200000000073,393.8,1.0
61,995.9,42.0,0.5471566423907612,960.9080000000074,391.92,1.0
62,-974.2999999992999,19744.0,0.5416850759668536,921.7160000000213,783.84,1.0
63,996.1,40.0,0.536268225207185,922.3240000000212,777.76,1.0
64,995.7,44.0,0.5309055429551132,922.6200000000212,774.8,1.0
65,995.1,50.0,0.525596487525562,922.7120000000212,773.88,1.0
66,997.7,24.0,0.5203405226503064,922.7480000000213,773.52,1.0
67,997.3,28.0,0.5151371174238033,922.7880000000212,773.12,1.0
68,993.9,62.0,0.5099857462495653,922.8880000000213,772.12,1.0
69,995.5,46.0,0.5048858887870696,922.9360000000213,771.64,1.0
70,646.199999999988,3539.0,0.4998370298991989,915.9460000000212,841.54,1.0
71,995.3,48.0,0.49483865960020695,916.2500000000211,838.5,1.0
72,994.9,52.0,0.4898902730042049,916.2420000000212,838.58,1.0
73,995.9,42.0,0.48499137027416284,916.2660000000211,838.34,1.0
74,996.3,38.0,0.4801414565714212,916.2780000000212,838.22,1.0
75,996.3,38.0,0.475340042005707,916.4020000000212,836.98,1.0
76,995.7,44.0,0.47058664158564995,916.3820000000211,837.18,1.0
77,997.3,28.0,0.4658807751697934,916.5020000000211,835.98,1.0
78,996.1,40.0,0.4612219674180955,916.5980000000211,835.02,1.0
79,996.3,38.0,0.45660974774391455,948.6020000000138,514.98,1.0
80,995.3,48.0,0.4520436502664754,948.610000000014,514.9,1.0
81,825.9000000000055,1742.0,0.44752321376381066,945.258000000014,548.42,1.0
82,997.5,26.0,0.44304798162617254,945.350000000014,547.5,1.0
83,997.5,26.0,0.4386175018099108,945.4900000000139,546.1,1.0
84,997.1,30.0,0.4342313267918117,945.5420000000139,545.58,1.0
85,997.1,30.0,0.4298890135238936,945.6340000000138,544.66,1.0
86,997.5,26.0,0.42559012338865465,945.7020000000138,543.98,1.0
87,997.3,28.0,0.4213342221547681,945.8060000000139,542.94,1.0
88,995.1,50.0,0.41712087993322045,945.9220000000139,541.78,1.0
89,996.5,36.0,0.41294967113388825,945.9340000000137,541.66,1.0
90,997.3,28.0,0.40882017442254937,945.9940000000139,541.06,1.0
91,997.3,28.0,0.4047319726783239,946.0020000000139,540.98,1.0
92,997.7,24.0,0.40068465295154065,946.062000000014,540.38,1.0
93,996.9,32.0,0.39667780642202527,946.1300000000139,539.7,1.0
94,997.5,26.0,0.392711028357805,946.1860000000139,539.14,1.0
95,997.3,28.0,0.38878391807422696,946.2740000000139,538.26,1.0
96,994.9,52.0,0.3848960788934847,946.2700000000141,538.3,1.0
97,997.5,26.0,0.38104711810454983,946.3460000000139,537.54,1.0
98,996.7,34.0,0.37723664692350434,946.4020000000138,536.98,1.0
99,997.7,24.0,0.37346428045426927,946.4500000000137,536.5,1.0
100,997.1,30.0,0.36972963764972655,946.5420000000138,535.58,1.0
101,708.9000000000024,2912.0,0.36603234127322926,940.794000000014,593.06,1.0
102,996.5,36.0,0.36237201786049694,940.7740000000139,593.26,1.0
103,997.5,26.0,0.358748297681892,940.842000000014,592.58,1.0
104,996.7,34.0,0.35516081470507305,940.8380000000138,592.62,1.0
105,997.7,24.0,0.3516092065580223,940.8820000000138,592.18,1.0
106,996.7,34.0,0.34809311449244207,940.9100000000138,591.9,1.0
107,996.9,32.0,0.34461218334751764,940.9020000000139,591.98,1.0
108,997.1,30.0,0.34116606151404244,940.9140000000139,591.86,1.0
109,996.5,36.0,0.337754400898902,940.9060000000139,591.94,1.0
110,997.9,22.0,0.334376856889913,941.0060000000138,590.94,1.0
111,997.9,22.0,0.33103308832101386,941.0460000000139,590.54,1.0
112,996.9,32.0,0.3277227574378037,980.47,196.3,1.0
113,996.5,36.0,0.3244455298634257,980.4779999999998,196.22,1.0
114,997.3,28.0,0.3212010745647914,980.5099999999999,195.9,1.0
115,996.5,36.0,0.3179890638191435,980.5379999999999,195.62,1.0
116,996.5,36.0,0.31480917318095203,980.5139999999999,195.86,1.0
117,997.5,26.0,0.3116610814491425,980.5179999999999,195.82,1.0
118,997.5,26.0,0.30854447063465107,980.5899999999998,195.1,1.0
119,996.7,34.0,0.30545902592830454,980.6139999999998,194.86,1.0
120,997.7,24.0,0.3024044356690215,987.6439999999999,124.56,1.0
121,997.7,24.0,0.29938039131233124,987.692,124.08,1.0
122,997.3,28.0,0.2963865873992079,987.7400000000001,123.6,1.0
123,995.3,48.0,0.29342272152521587,987.7280000000002,123.72,1.0
124,996.9,32.0,0.2904884943099637,987.7400000000001,123.6,1.0
125,997.7,24.0,0.28758360936686406,987.768,123.32,1.0
126,997.7,24.0,0.2847077732731954,987.808,122.92,1.0
127,997.5,26.0,0.28186069554046345,987.8120000000001,122.88,1.0
128,997.1,30.0,0.2790420885850588,987.832,122.68,1.0
129,997.3,28.0,0.2762516676992082,987.8520000000003,122.48,1.0
130,997.5,26.0,0.27348915102221616,987.8960000000002,122.04,1.0
131,997.1,30.0,0.270754259511994,991.32,87.8,1.0
132,996.7,34.0,0.26804671691687404,991.3039999999997,87.96,1.0
133,997.9,22.0,0.2653662497477053,991.312,87.88,1.0
134,996.5,36.0,0.2627125872502282,991.3000000000002,88.0,1.0
135,997.3,28.0,0.2600854613777259,991.3040000000001,87.96,1.0
136,837.7000000000049,1624.0,0.2574846067639487,988.1080000000002,119.92,1.0
137,997.1,30.0,0.2549097606963092,988.104,119.96,1.0
138,997.7,24.0,0.2523606630893461,988.1560000000001,119.44,1.0
139,995.3,48.0,0.24983705645845267,988.1320000000001,119.68,1.0
140,997.3,28.0,0.24733868589386815,988.1320000000003,119.68,1.0
141,997.7,24.0,0.24486529903492946,988.1400000000001,119.6,1.0
142,996.7,34.0,0.24241664604458016,988.12,119.8,1.0
143,997.3,28.0,0.23999247958413436,988.1280000000002,119.72,1.0
144,997.7,24.0,0.23759255478829303,988.1320000000001,119.68,1.0
145,997.5,26.0,0.2352166292404101,988.1360000000001,119.64,1.0
146,997.7,24.0,0.232864462948006,988.1920000000001,119.08,1.0
147,997.5,26.0,0.23053581831852593,988.1920000000001,119.08,1.0
148,997.9,22.0,0.22823046013534068,988.2160000000002,118.84,1.0
149,997.5,26.0,0.22594815553398728,988.2120000000002,118.88,1.0
150,997.3,28.0,0.22368867397864742,988.2160000000002,118.84,1.0
151,997.1,30.0,0.22145178723886094,993.9800000000001,61.2,1.0
152,997.7,24.0,0.21923726936647234,994.0040000000001,60.96,1.0
153,997.5,26.0,0.2170448966728076,994.0040000000001,60.96,1.0
154,997.9,22.0,0.21487444770607952,994.0280000000001,60.72,1.0
155,997.9,22.0,0.21272570322901874,994.0320000000002,60.68,1.0
156,997.3,28.0,0.21059844619672854,994.0440000000002,60.56,1.0
157,997.9,22.0,0.20849246173476127,994.0640000000002,60.36,1.0
158,998.1,20.0,0.20640753711741366,994.0840000000003,60.16,1.0
159,997.5,26.0,0.20434346174623952,994.104,59.96,1.0
160,997.9,22.0,0.20230002712877712,994.104,59.96,1.0
161,997.5,26.0,0.20027702685748935,994.0960000000002,60.04,1.0
162,997.5,26.0,0.19827425658891445,994.1080000000002,59.92,1.0
163,996.9,32.0,0.1962915140230253,994.1160000000002,59.84,1.0
164,996.9,32.0,0.19432859888279505,994.1080000000002,59.92,1.0
165,997.7,24.0,0.1923853128939671,994.132,59.68,1.0
166,997.9,22.0,0.19046145976502743,994.16,59.4,1.0
167,997.9,22.0,0.18855684516737714,994.1680000000001,59.32,1.0
168,997.5,26.0,0.18667127671570335,994.168,59.32,1.0
169,997.1,30.0,0.18480456394854633,994.1759999999999,59.24,1.0
170,997.7,24.0,0.18295651830906087,994.1759999999999,59.24,1.0
171,997.9,22.0,0.18112695312597027,994.18,59.2,1.0
172,997.7,24.0,0.17931568359471056,994.188,59.12,1.0
173,998.1,20.0,0.17752252675876345,994.2439999999999,58.56,1.0
174,918.7000000000004,814.0,0.17574730149117582,992.6799999999998,74.2,1.0
175,997.5,26.0,0.17398982847626407,992.676,74.24,1.0
176,997.5,26.0,0.17224993019150142,992.6720000000001,74.28,1.0
177,997.3,28.0,0.1705274308895864,992.6680000000001,74.32,1.0
178,997.9,22.0,0.16882215658069055,992.6840000000001,74.16,1.0
179,982.2,179.0,0.16713393501488363,992.382,77.18,1.0
180,998.1,20.0,0.16546259566473479,992.3940000000001,77.06,1.0
181,998.1,20.0,0.16380796970808745,992.414,76.86,1.0
182,997.3,28.0,0.16216989001100657,992.4260000000002,76.74,1.0
183,997.5,26.0,0.1605481911108965,992.4180000000001,76.82,1.0
184,997.5,26.0,0.15894270919978754,992.4380000000002,76.62,1.0
185,998.1,20.0,0.15735328210778965,992.4540000000001,76.46,1.0
186,997.9,22.0,0.15577974928671176,995.6580000000001,44.42,1.0
187,997.9,22.0,0.15422195179384465,995.674,44.26,1.0
188,997.5,26.0,0.1526797322759062,995.67,44.3,1.0
189,997.5,26.0,0.15115293495314713,995.7139999999999,43.86,1.0
190,984.7,154.0,0.14964140560361566,995.462,46.38,1.0
191,998.1,20.0,0.1481449915475795,995.4699999999998,46.3,1.0
192,997.3,28.0,0.1466635416321037,995.482,46.18,1.0
193,998.1,20.0,0.14519690621578268,995.498,46.02,1.0
194,998.1,20.0,0.14374493715362485,995.5059999999999,45.94,1.0
195,997.7,24.0,0.1423074877820886,995.5099999999999,45.9,1.0
196,997.9,22.0,0.1408844129042677,995.5140000000001,45.86,1.0
197,997.1,30.0,0.13947556877522502,995.5060000000001,45.94,1.0
198,998.1,20.0,0.13808081308747278,995.51,45.9,1.0
199,997.7,24.0,0.13670000495659804,995.5139999999998,45.86,1.0
200,997.7,24.0,0.13533300490703207,995.5219999999998,45.78,1.0
201,997.7,24.0,0.13397967485796175,995.534,45.66,1.0
202,997.7,24.0,0.13263987810938213,995.534,45.66,1.0
203,999.9,2.0,0.1313134793282883,995.582,45.18,1.0
204,997.3,28.0,0.13000034453500542,995.57,45.3,1.0
205,998.1,20.0,0.12870034108965536,995.5740000000001,45.26,1.0
206,966.1999999999998,339.0,0.12741333767875881,994.952,51.48,1.0
207,997.9,22.0,0.12613920430197123,994.952,51.48,1.0
208,997.7,24.0,0.12487781225895152,994.944,51.56,1.0
209,997.7,24.0,0.123629034136362,994.9479999999999,51.52,1.0
210,997.7,24.0,0.12239274379499838,994.944,51.56,1.0
211,997.9,22.0,0.1211688163570484,994.952,51.48,1.0
212,998.1,20.0,0.11995712819347792,994.9639999999999,51.36,1.0
213,998.1,20.0,0.11875755691154315,994.9879999999998,51.12,1.0
214,998.1,20.0,0.11756998134242772,995.0119999999998,50.88,1.0
215,997.5,26.0,0.11639428152900344,995.008,50.92,1.0
216,998.1,20.0,0.11523033871371341,995.012,50.88,1.0
217,997.9,22.0,0.11407803532657627,995.0120000000002,50.88,1.0
218,997.9,22.0,0.11293725497331052,995.02,50.8,1.0
219,997.5,26.0,0.1118078824235774,995.028,50.72,1.0
220,997.9,22.0,0.11068980359934164,995.0319999999999,50.68,1.0
221,997.9,22.0,0.10958290556334822,995.0320000000002,50.68,1.0
222,997.7,24.0,0.10848707650771475,995.0319999999999,50.68,1.0
223,997.9,22.0,0.1074022057426376,995.0279999999999,50.72,1.0
224,997.7,24.0,0.10632818368521123,996.6080000000001,34.92,1.0
225,997.9,22.0,0.10526490184835911,996.6159999999999,34.84,1.0
226,997.9,22.0,0.10421225282987552,996.6240000000001,34.76,1.0
227,997.3,28.0,0.10317013030157676,996.6240000000001,34.76,1.0
228,817.2000000000061,1829.0,0.10213842899856099,993.0100000000001,70.9,1.0
229,997.5,26.0,0.10111704470857538,993.3159999999999,67.84,1.0
230,998.1,20.0,0.10010587426148963,993.316,67.84,1.0
231,997.9,22.0,0.09910481551887473,993.3120000000001,67.88,1.0
232,997.9,22.0,0.09811376736368599,993.3240000000001,67.76,1.0
233,997.9,22.0,0.09713262969004913,993.3320000000001,67.68,1.0
234,997.9,22.0,0.09616130339314863,993.3400000000001,67.6,1.0
235,998.1,20.0,0.09519969035921715,993.34,67.6,1.0
236,998.1,20.0,0.09424769345562498,993.3439999999999,67.56,1.0
237,998.1,20.0,0.09330521652106873,993.3480000000001,67.52,1.0
238,994.5,56.0,0.09237216435585804,993.288,68.12,1.0
239,998.4,17.0,0.09144844271229946,993.3060000000002,67.94,1.0
240,997.9,22.0,0.09053395828517646,993.5700000000003,65.3,1.0
241,997.7,24.0,0.08962861870232469,993.562,65.38,1.0
242,997.9,22.0,0.08873233251530144,993.5740000000001,65.26,1.0
243,997.7,24.0,0.08784500919014843,993.5660000000003,65.34,1.0
244,997.9,22.0,0.08696655909824694,993.5620000000001,65.38,1.0
245,998.1,20.0,0.08609689350726446,993.5700000000002,65.3,1.0
246,997.7,24.0,0.08523592457219181,993.5659999999999,65.34,1.0
247,998.1,20.0,0.0843835653264699,993.586,65.14,1.0
248,838.1000000000049,1620.0,0.0835397296732052,990.3860000000002,97.14,1.0
249,997.9,22.0,0.08270433237647315,990.3900000000003,97.1,1.0
250,997.9,22.0,0.08187728905270841,990.3940000000002,97.06,1.0
251,998.1,20.0,0.08105851616218133,990.4020000000003,96.98,1.0
252,998.1,20.0,0.08024793100055952,990.4100000000003,96.9,1.0
253,966.3999999999997,337.0,0.07944545169055392,989.7400000000002,103.6,1.0
254,997.9,22.0,0.07865099717364837,989.7520000000003,103.48,1.0
255,997.7,24.0,0.07786448720191189,989.7440000000001,103.56,1.0
256,998.1,20.0,0.07708584232989277,990.3820000000003,97.18,1.0
257,997.9,22.0,0.07631498390659384,990.3820000000001,97.18,1.0
258,998.1,20.0,0.07555183406752791,990.3900000000003,97.1,1.0
259,998.1,20.0,0.07479631572685264,990.3980000000001,97.02,1.0
260,997.9,22.0,0.07404835256958411,990.4020000000003,96.98,1.0
261,997.7,24.0,0.07330786904388827,990.3980000000001,97.02,1.0
262,998.1,20.0,0.07257479035344938,990.398,97.02,1.0
263,997.9,22.0,0.07184904244991488,990.3940000000002,97.06,1.0
264,998.1,20.0,0.07113055202541574,990.3940000000002,97.06,1.0
265,998.1,20.0,0.07041924650516158,990.4060000000001,96.94,1.0
266,998.1,20.0,0.06971505404010997,990.4060000000001,96.94,1.0
267,998.1,20.0,0.06901790349970886,990.4100000000003,96.9,1.0
268,998.1,20.0,0.06832772446471178,990.4140000000002,96.86,1.0
269,998.1,20.0,0.06764444722006466,990.4260000000002,96.74,1.0
270,998.1,20.0,0.066968002747864,990.4300000000003,96.7,1.0
271,997.9,22.0,0.06629832272038537,990.4300000000003,96.7,1.0
272,998.1,20.0,0.06563533949318151,990.4380000000002,96.62,1.0
273,998.1,20.0,0.06497898609824969,990.4420000000002,96.58,1.0
274,974.6999999999999,254.0,0.0643291962372672,989.9820000000003,101.18,1.0
275,998.1,20.0,0.06368590427489453,989.9860000000002,101.14,1.0
276,997.7,24.0,0.06304904523214558,989.9820000000003,101.18,1.0
277,997.9,22.0,0.06241855477982412,989.9940000000003,101.06,1.0
278,998.1,20.0,0.06179436923202588,993.6120000000001,64.88,1.0
279,998.1,20.0,0.06117642553970562,993.6240000000001,64.76,1.0
280,998.1,20.0,0.06056466128430856,993.6240000000001,64.76,1.0
281,998.1,20.0,0.05995901467146548,993.628,64.72,1.0
282,998.1,20.0,0.05935942452475082,993.6320000000001,64.68,1.0
283,997.7,24.0,0.058765830279503314,993.628,64.72,1.0
284,997.9,22.0,0.05817817197670828,993.628,64.72,1.0
285,998.1,20.0,0.057596390256941195,993.628,64.72,1.0
286,998.1,20.0,0.05702042635437178,993.628,64.72,1.0
287,998.1,20.0,0.05645022209082806,993.628,64.72,1.0
288,997.9,22.0,0.05588571986991978,993.696,64.04,1.0
289,998.1,20.0,0.055326862671220584,993.69,64.1,1.0
290,998.1,20.0,0.05477359404450838,993.694,64.06,1.0
291,997.9,22.0,0.054225858104063294,993.6980000000002,64.02,1.0
292,998.1,20.0,0.05368359952302266,993.7020000000001,63.98,1.0
293,998.1,20.0,0.053146763527792434,993.71,63.9,1.0
294,998.1,20.0,0.052615295892514506,993.7139999999999,63.86,1.0
295,998.1,20.0,0.052089142933589364,993.714,63.86,1.0
296,998.1,20.0,0.05156825150425347,993.7220000000001,63.78,1.0
297,998.1,20.0,0.051052568989210935,993.7220000000001,63.78,1.0
298,997.9,22.0,0.05054204329931883,996.918,31.82,1.0
299,997.9,22.0,0.05003662286632564,996.918,31.82,1.0
300,998.1,20.0,0.04953625663766238,996.9220000000001,31.78,1.0
301,997.9,22.0,0.04904089407128576,996.918,31.82,1.0
302,998.1,20.0,0.0485504851305729,996.918,31.82,1.0
303,998.1,20.0,0.048064980279267165,997.552,25.48,1.0
304,997.9,22.0,0.04758433047647449,997.5520000000001,25.48,1.0
305,998.1,20.0,0.04710848717170975,997.56,25.4,1.0
306,997.9,22.0,0.04663740229999265,997.556,25.44,1.0
307,998.1,20.0,0.04617102827699272,997.56,25.4,1.0
308,998.1,20.0,0.045709317994222794,997.56,25.4,1.0
309,997.9,22.0,0.04525222481428057,997.556,25.44,1.0
310,998.1,20.0,0.04479970256613776,997.56,25.4,1.0
311,997.9,22.0,0.04435170554047638,997.564,25.36,1.0
312,997.7,24.0,0.043908188485071616,997.556,25.44,1.0
313,998.1,20.0,0.0434691066002209,997.5599999999998,25.4,1.0
314,998.1,20.0,0.04303441553421869,997.56,25.4,1.0
